Name,Domain,Indicator,Year,GeogID,AgeGroup,Gender,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName
GREENLEE,HSI,89,2013,4011,20,ALL,ALL,440,0,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GREENLEE,HSI,89,2013,4011,20,ALL,ALL,440,0,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2013,4012,20,ALL,ALL,440,125.73,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2013,4012,20,ALL,ALL,440,125.73,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2011,4007,20,ALL,ALL,440,29.87,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2011,4007,20,ALL,ALL,440,29.87,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GRAHAM,HSI,89,2011,4009,20,ALL,ALL,440,38.41,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GRAHAM,HSI,89,2011,4009,20,ALL,ALL,440,38.41,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2011,4012,20,ALL,ALL,440,144.96,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2011,4012,20,ALL,ALL,440,144.96,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2011,4013,20,ALL,ALL,440,31.31,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2011,4013,20,ALL,ALL,440,31.31,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MOHAVE,HSI,89,2011,4015,20,ALL,ALL,440,49.41,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MOHAVE,HSI,89,2011,4015,20,ALL,ALL,440,49.41,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2012,ALL,20,ALL,ALL,440,30.01,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2012,ALL,20,ALL,ALL,440,30.01,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2013,4001,20,ALL,ALL,440,9.62,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2013,4001,20,ALL,ALL,440,9.62,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2013,4003,20,ALL,ALL,440,25.74,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2013,4003,20,ALL,ALL,440,25.74,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2013,4005,20,ALL,ALL,440,13.43,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2013,4005,20,ALL,ALL,440,13.43,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2013,4007,20,ALL,ALL,440,31.81,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2013,4007,20,ALL,ALL,440,31.81,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2011,4003,20,ALL,ALL,440,23.72,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2011,4003,20,ALL,ALL,440,23.72,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2011,4005,20,ALL,ALL,440,11.04,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2011,4005,20,ALL,ALL,440,11.04,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2012,4013,20,ALL,ALL,440,29.34,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2012,4013,20,ALL,ALL,440,29.34,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MOHAVE,HSI,89,2012,4015,20,ALL,ALL,440,61.2,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MOHAVE,HSI,89,2012,4015,20,ALL,ALL,440,61.2,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
NAVAJO,HSI,89,2012,4017,20,ALL,ALL,440,19.18,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
NAVAJO,HSI,89,2012,4017,20,ALL,ALL,440,19.18,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2012,4019,20,ALL,ALL,440,22.71,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2012,4019,20,ALL,ALL,440,22.71,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PINAL,HSI,89,2012,4021,20,ALL,ALL,440,31.05,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PINAL,HSI,89,2012,4021,20,ALL,ALL,440,31.05,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YAVAPAI,HSI,89,2012,4025,20,ALL,ALL,440,21.66,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YAVAPAI,HSI,89,2012,4025,20,ALL,ALL,440,21.66,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2012,4027,20,ALL,ALL,440,87.72,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2012,4027,20,ALL,ALL,440,87.72,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2014,4007,20,ALL,ALL,440,21.05,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2014,4007,20,ALL,ALL,440,21.05,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2012,4003,20,ALL,ALL,440,21.44,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2012,4003,20,ALL,ALL,440,21.44,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2012,4005,20,ALL,ALL,440,13.06,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2012,4005,20,ALL,ALL,440,13.06,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2012,4007,20,ALL,ALL,440,40.58,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2012,4007,20,ALL,ALL,440,40.58,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GRAHAM,HSI,89,2012,4009,20,ALL,ALL,440,27.05,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GRAHAM,HSI,89,2012,4009,20,ALL,ALL,440,27.05,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2012,4012,20,ALL,ALL,440,126.68,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2012,4012,20,ALL,ALL,440,126.68,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YAVAPAI,HSI,89,2013,4025,20,ALL,ALL,440,13.9,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YAVAPAI,HSI,89,2013,4025,20,ALL,ALL,440,13.9,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2013,4027,20,ALL,ALL,440,85.36,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2013,4027,20,ALL,ALL,440,85.36,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2013,ALL,20,ALL,ALL,440,27.73,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2013,ALL,20,ALL,ALL,440,27.73,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2014,4001,20,ALL,ALL,440,13.94,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2014,4001,20,ALL,ALL,440,13.94,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2014,4003,20,ALL,ALL,440,18.16,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2014,4003,20,ALL,ALL,440,18.16,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2013,4013,20,ALL,ALL,440,26.75,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2013,4013,20,ALL,ALL,440,26.75,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MOHAVE,HSI,89,2013,4015,20,ALL,ALL,440,58.2,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MOHAVE,HSI,89,2013,4015,20,ALL,ALL,440,58.2,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
NAVAJO,HSI,89,2013,4017,20,ALL,ALL,440,12.03,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
NAVAJO,HSI,89,2013,4017,20,ALL,ALL,440,12.03,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2013,4019,20,ALL,ALL,440,17.74,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2013,4019,20,ALL,ALL,440,17.74,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PINAL,HSI,89,2013,4021,20,ALL,ALL,440,39.94,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PINAL,HSI,89,2013,4021,20,ALL,ALL,440,39.94,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2015,4012,20,ALL,ALL,440,116.32,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2015,4012,20,ALL,ALL,440,116.32,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2015,4013,20,ALL,ALL,440,28.09,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2015,4013,20,ALL,ALL,440,28.09,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MOHAVE,HSI,89,2015,4015,20,ALL,ALL,440,86.32,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MOHAVE,HSI,89,2015,4015,20,ALL,ALL,440,86.32,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
NAVAJO,HSI,89,2015,4017,20,ALL,ALL,440,10.29,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
NAVAJO,HSI,89,2015,4017,20,ALL,ALL,440,10.29,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2015,4019,20,ALL,ALL,440,19.17,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2015,4019,20,ALL,ALL,440,19.17,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GRAHAM,HSI,89,2013,4009,20,ALL,ALL,440,47.3,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GRAHAM,HSI,89,2013,4009,20,ALL,ALL,440,47.3,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2014,4019,20,ALL,ALL,440,18.8,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PIMA,HSI,89,2014,4019,20,ALL,ALL,440,18.8,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PINAL,HSI,89,2014,4021,20,ALL,ALL,440,35.45,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
PINAL,HSI,89,2014,4021,20,ALL,ALL,440,35.45,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YAVAPAI,HSI,89,2014,4025,20,ALL,ALL,440,6.98,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YAVAPAI,HSI,89,2014,4025,20,ALL,ALL,440,6.98,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2014,4027,20,ALL,ALL,440,82.8,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2014,4027,20,ALL,ALL,440,82.8,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2014,ALL,20,ALL,ALL,440,26.06,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2014,ALL,20,ALL,ALL,440,26.06,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2015,4027,20,ALL,ALL,440,78.64,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
YUMA,HSI,89,2015,4027,20,ALL,ALL,440,78.64,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2015,ALL,20,ALL,ALL,440,29.29,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
ARIZONA,HSI,89,2015,ALL,20,ALL,ALL,440,29.29,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2016,4001,20,ALL,ALL,440,11.81,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2016,4001,20,ALL,ALL,440,11.81,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2016,4003,20,ALL,ALL,440,31.23,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2016,4003,20,ALL,ALL,440,31.23,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2014,4005,20,ALL,ALL,440,15.93,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2014,4005,20,ALL,ALL,440,15.93,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2015,4001,20,ALL,ALL,440,9.94,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
APACHE,HSI,89,2015,4001,20,ALL,ALL,440,9.94,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2015,4003,20,ALL,ALL,440,16.75,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCHISE,HSI,89,2015,4003,20,ALL,ALL,440,16.75,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2015,4005,20,ALL,ALL,440,13.48,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
COCONINO,HSI,89,2015,4005,20,ALL,ALL,440,13.48,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2015,4007,20,ALL,ALL,440,37.06,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GILA,HSI,89,2015,4007,20,ALL,ALL,440,37.06,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GRAHAM,HSI,89,2015,4009,20,ALL,ALL,440,22.85,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
GRAHAM,HSI,89,2015,4009,20,ALL,ALL,440,22.85,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2016,4012,20,ALL,ALL,440,172.69,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
LA PAZ,HSI,89,2016,4012,20,ALL,ALL,440,172.69,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2016,4013,20,ALL,ALL,440,34.11,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MARICOPA,HSI,89,2016,4013,20,ALL,ALL,440,34.11,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
MOHAVE,HSI,89,2016,4015,20,ALL,ALL,440,100.21,2023-04-18T10:21:46.240,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population",Heat stress emergency department visits,Heat Stress Illness
